gene_symbol_official,gene_symbol_fullname,count,idlist,Input Symbol,Official Symbol,Entrez Gene ID,Gene Name
IL6,interleukin 6,5930,"['40559641', '40552120', '40550759', '40549676', '40546033', '40544304', '40540404', '40534887', '40524162', '40524158', '40512747', '40510342', '40501063', '40486124', '40485166', '40478888', '40453458', '40445962', '40433870', '40433392', '40426279', '40419900', '40418306', '40415359', '40414583', '40399989', '40397876', '40394665', '40390062', '40386233', '40369550', '40360043', '40359720', '40353384', '40346613', '40344985', '40338919', '40335920', '40319834', '40319576', '40306112', '40305123', '40292295', '40287812', '40282880', '40265536', '40264754', '40263344', '40261444', '40255671', '40253667', '40252895', '40246251', '40245524', '40228821', '40216133', '40210177', '40201999', '40199446', '40192065', '40181286', '40178612', '40176879', '40171168', '40158469', '40154568', '40152885', '40149943', '40147866', '40145618', '40142279', '40140759', '40140749', '40139445', '40138729', '40136690', '40125518', '40111648', '40111530', '40108019', '40089290', '40089200', '40079594', '40076895', '40076848', '40057738', '40054422', '40050706', '40050253', '40046257', '40034692', '40033806', '40022765', '40016642', '40011296', '40000789', '39978709', '39968586', '39968581', '39966958', '39966772', '39964774', '39963236', '39962902', '39962104', '39960273', '39955435', '39948173', '39931752', '39929631', '39922328', '39919350', '39914836', '39914692', '39907592', '39901742', '39895488', '39891057', '39885380', '39879890', '39876077', '39873358', '39863865', '39862276', '39855529', '39836931', '39833594', '39831526', '39831484', '39826649', '39825692', '39823793', '39819719', '39818252', '39817810', '39816047', '39808151', '39806304', '39800248', '39794821', '39786877', '39780670', '39769989', '39755185', '39744639', '39733737', '39732142', '39732103', '39725629', '39724680', '39720715', '39716581', '39712015', '39710165', '39708977', '39704189', '39701282', '39699295', '39697018', '39696043', '39675717', '39666381', '39638724', '39637366', '39632849', '39628684', '39617276', '39614280', '39612058', '39611400', '39596976', '39591838', '39581613', '39580586', '39579308', '39576068', '39571266', '39567616', '39566813', '39559359', '39549085', '39548530', '39547122', '39546819', '39545658', '39535339', '39531908', '39519216', '39505349', '39502702', '39495969', '39491657', '39488192', '39471914', '39462731', '39456869', '39454632', '39453486', '39446526', '39443948', '39443088', '39436561', '39428241', '39426768', '39423218', '39419306', '39418726', '39415525', '39411878', '39400781', '39387442', '39394007', '39382693', '39380512', '39379599', '39375723', '39366502', '39362015', '39360626', '39358228', '39337575', '39313391', '39312202', '39311785', '39303891', '39293840', '39287046', '39281680', '39278847', '39278846', '39273234', '39268525', '39263833', '39261648', '39261086', '39256841', '39243130', '39241831', '39240033', '39228306', '39223886', '39216682', '39212218', '39210696', '39204252', '39202614', '39197800', '39187743', '39182143', '39179637', '39179331', '39174578', '39170019', '39163062', '39158926', '39154534', '39153053', '39134731', '39129228', '39122748', '39111365', '39099357', '39096053', '39089657', '39088917', '39080540', '39067500', '39060337', '39052062', '39043772', '39042216', '39041351', '39033662', '39032762', '39026117', '39025049', '39006018', '39002784', '39000529', '38992150', '38991962', '38991958', '38981846', '38970263', '38969287', '38967533', '38961639', '38961249', '38960833', '38960057', '38954890', '38952086', '38944949', '38940849', '38938563', '38937755', '38929553', '38928327', '38926458', '38926372', '38916619', '38916095', '38910256', '38901244', '38897245', '38888567', '38888497', '38885061', '38884169', '38881891', '38871041', '38870868', '38870636', '38864140', '38858136', '38857634', '38849783', '38848887', '38845494', '38835774', '38832966', '38824851', '38823539', '38822624', '38814410', '38814213', '38813932', '38809334', '38797509', '38797312', '38788982', '38776408', '38772618', '38769746', '38754813', '38742739', '38735091', '38734709', '38723525', '38723454', '38712373', '38710516', '38692452', '38691102', '38673868', '38670240', '38657479', '38650148', '38646480', '38643631', '38643461', '38640713', '38638439', '38634191', '38630560', '38625840', '38598083', '38598021', '38589355', '38582704', '38578526', '38567608', '38562936', '38559341', '38553191', '38546380', '38536887', '38531202', '38528351', '38527992', '38517239', '38512283', '38511769', '38501424', '38499156', '38489968', '38485953', '38484663', '38467246', '38459886', '38452956', '38448372', '38445620', '38445373', '38432853', '38430822', '38428770', '38421701', '38419044', '38417866', '38411593', '38406786', '38404273', '38396935', '38395221', '38380649', '38372118', '38372079', '38349117', '38331902', '38330799', '38321908', '38321608', '38320682', '38320541', '38320216', '38317412', '38317082', '38315032', '38313162', '38305333', '38304431', '38302679', '38287826', '38287311', '38286859', '38261584', '38242525', '38240873', '38237222', '38233317', '38217091', '38215656', '38215588', '38215061', '38203627', '38203555', '38201208', '38188141', '38187907', '38187112', '38182736', '38165930', '38165570', '38162050', '38151997', '38150591', '38150354', '38149385', '38142642', '38139346', '38133693', '38133657', '38128702', '38128396', '38124410', '38112144', '38109427', '38102579', '38100268', '38094297', '38087374', '38070511', '38068931', '38068895', '38065349', '38058059', '38048858', '38043934', '38043391', '38037118', '38035854', '38035076', '38016342', '38015645', '38010112', '38006749', '38001494', '37987130', '37986183', '37984615', '37977740', '37977206', '37972690', '37970921', '37956370', '37937493', '37935545', '37921181', '37913569', '37907989', '37901226', '37900081', '37900069', '37883863', '37878499', '37877496', '37875957', '37873707', '37873706', '37871380', '37866671', '37866135', '37859612', '37845615', '37844468', '37840694', '37839766', '37830896', '37822356', '37819735', '37817514', '37814861', '37814277', '37814067', '37812997', '37805906', '37804813', '37803951', '37802127', '37796401', '37794245', '37789794', '37784110', '37782276', '37776443', '37762478', '37762104', '37759732', '37756450', '37751673', '37744293', '37732482', '37715384', '37708960', '37704932', '37696985', '37695728', '37695229', '37695226', '37688314', '37686271', '37681716', '37676534', '37675176', '37674218', '37662481', '37650558', '37647440', '37643372', '37637154', '37626844', '37614234', '37608141', '37606510', '37604833', '37593866', '37592204', '37587065', '37586442', '37575046', '37571401', '37563958', '37560860', '37559007', '37550359', '37549828', '37548662', '37545450', '37525933', '37523978', '37518088', '37515337', '37493576', '37479687', '37474360', '37471665', '37470905', '37468719', '37467969', '37467709', '37463399', '37452625', '37440665', '37436447', '37436358', '37424026', '37423488', '37422788', '37422779', '37407986', '37406061', '37405872', '37395245', '37393835', '37392571', '37391875', '37382018', '37373325', '37366125', '37366124', '37359526', '37358763', '37356260', '37356123', '37355316', '37355223', '37354683', '37350331', '37343439', '37329563', '37312717', '37310657', '37308449', '37308226', '37308224', '37308193', '37302371', '37296648', '37295247', '37294135', '37292192', '37268038', '37265700', '37263233', '37256314', '37255096', '37248585', '37248583', '37248197', '37239992', '37234775', '37231783', '37227549', '37219401', '37207595', '37205094', '37196559', '37192488', '37183023', '37182446', '37175808', '37158106', '37146706', '37130180', '37105771', '37102655', '37092189', '37090709', '37087580', '37076099', '37062504', '37059372', '37058750', '37057132', '37047303', '37047205', '37041589', '37041228', '37032080', '37018980', '37018802', '37014234', '37010813', '36998049', '36988563', '36976925', '36970761', '36968119', '36967305', '36966548', '36945012', '36944277', '36941246', '36939682', '36937479', '36934787', '36932048', '36927982', '36924686', '36921735', '36921490', '36917195', '36916385', '36916375', '36916337', '36916335', '36915144', '36915009', '36907325', '36883500', '36882272', '36880240', '36880228', '36864027', '36861948', '36855243', '36852972', '36847604', '36845137', '36845110', '36840516', '36840424', '36822750', '36814047', '36809365', '36801697', '36795959', '36782115', '36766707', '36752775', '36751831', '36743916', '36739569', '36737765', '36735789', '36734635', '36730901', '36730865', '36730767', '36726139', '36725909', '36725250', '36724947', '36723329', '36719429', '36718013', '36716318', '36708679', '36706631', '36705532', '36705345', '36696856', '36685507', '36680487', '36675101', '36661370', '36658277', '36656591', '36651241', '36647295', '36640152', '36634624', '36631077', '36631067', '36621538', '36615318', '36610161', '36610129', '36608504', '36602214', '36598513', '36596440', '36591826', '36587420', '38313115', '36584571', '36583372', '36569834', '36567558', '36565415', '36563524', '36546873', '36546420', '36544765', '36544417', '36544058', '36536294', '36526125', '36509812', '36472056', '36459842', '36459792', '36448837', '36445231', '36441080', '36427072', '36423191', '36418262', '36403713', '36402943', '36400309', '36383295', '36368184', '36362052', '36361915', '36361685', '36355913', '36355867', '36335463', '36335445', '36335439', '36334787', '36318846', '36300612', '36282800', '36279621', '36279244', '36274974', '36271559', '36263056', '36254641', '36253831', '36252478', '36250840', '36249210', '36240721', '36237427', '36232563', '36221401', '36219316', '36217616', '36216867', '36214215', '36209721', '36209073', '36203605', '36200697', '36198198', '36189302', '36180862', '36177929', '36177923', '36173129', '36164882', '36163623', '36159784', '36150466', '36148090', '36146924', '36130401', '36123595', '36119089', '36117167', '36105322', '36102304', '36100410', '36100408', '36100266', '36086972', '36086962', '36076557', '36071631', '36070121', '36066033', '36061862', '36058695', '36044921', '36001204', '35999492', '35992541', '35981702', '35979014', '35977075', '35960063', '35955767', '35933445', '35932794', '35930298', '35928365', '35921152', '35918604', '35908899', '35906756', '35895797', '35886907', '35873795', '35868036', '35864718', '35862959', '35859520', '35857031', '35854770', '35850456', '35850256', '35848998', '35844459', '35833536', '35833395', '35833122', '35831643', '35819783', '35818192', '35818188', '35814267', '35811678', '35803318', '35801730', '35795403', '35793478', '35790432', '35789410', '35787308', '35786750', '35786454', '35784283', '35779282', '35754113', '35743025', '35729330', '35724457', '35720383', '35696412', '35691271', '35689164', '35686454', '35673745', '35672941', '35664433', '35657183', '35648977', '35647912', '35644586', '35639040', '35622931', '35621073', '35606218', '35599576', '35593749', '35588695', '35588105', '35583012', '35582414', '35579024', '35576655', '35575864', '35575295', '35559581', '35550043', '35546754', '35544982', '35537329', '35536087', '35535600', '35532702', '35528525', '35526523', '35510377', '35502507', '35502484', '35500750', '35491874', '35463642', '35447395', '35447391', '35443495', '35442485', '35441408', '35440319', '35426063', '35417068', '35417044', '35413868', '35411633', '35411498', '35408999', '35406635', '35405484', '35401514', '35395976', '35387716', '35385711', '35367313', '35363162', '35355199', '35354111', '35337691', '35313003', '35306660', '35305556', '35304640', '35301652', '35297653', '35293311', '35290918', '35290084', '35276271', '35272488', '35266443', '35251018', '35244189', '35239068', '35237256', '35234365', '35225146', '35211295', '35217279', '35203386', '35202908', '35197984', '35193654', '35189172', '35182399', '35178159', '35178052', '35172672', '35167625', '35165727', '35163830', '35163596', '35156517', '35156512', '35152685', '35151055', '35148668', '35141934', '35138142', '35136051', '35131007', '35131005']",IL6,IL6,3569,interleukin 6
CHI3L1,chitinase 3 like 1,9,"['39558383', '39067155', '36921490', '34627195', '31463997', '31013257', '30193587', '26528713', '23706599']",CHI3L1,CHI3L1,1116,chitinase 3 like 1
ADRA2B,receptors adrenergic,4,"['36796459', '31131320', '29733849', '19430535']",ADRA2B,ADRA2B,151,adrenoceptor alpha 2B
PDE4A,phosphodiesterase 4a,2,"['28356347', '16034090']",PDE4A,PDE4A,5141,phosphodiesterase 4A
RPL4,ribosomal protein l4,1,['27978524'],RPL4,RPL4,6124,ribosomal protein L4
NDUFB4,electron transport complex i,0,[],NDUFB4,NDUFB4,4710,NADH:ubiquinone oxidoreductase subunit B4
MIR193B,microrna 193b,5,"['27246725', '24421215', '24413579', '23026916', '22719975']",MIR193B,MIR193B,574455,microRNA 193b
SFTPC,surfactant protein c,3,"['37909847', '37244125', '17967178']",SFTPC,SFTPC,6440,surfactant protein C
LTF,lactotransferrin,8,"['38912048', '37443002', '34144116', '30667541', '28692472', '26591142', '25361827', '11681222']",LTF,LTF,4057,lactotransferrin
MIR129-1,microrna 129 1,0,[],MIR129-1,MIR129-1,406917,microRNA 129-1
CYP2A6,cytochrome p450 family 2,1,['25052959'],CYP2A6,CYP2A6,1548,cytochrome P450 family 2 subfamily A member 6
SYNC,syncoilin intermediate filament protein,1,['28121360'],SYNC,SYNC,81493,"syncoilin, intermediate filament protein"
CHUK,component,2,"['32700110', '30154914']",CHUK,CHUK,1147,component of inhibitor of nuclear factor kappa B kinase complex
CHGA,chromogranin a,7,"['37142550', '26911943', '26154393', '24620384', '22893219', '22524436', '22491939']",CHGA,CHGA,1113,chromogranin A
ADGRE5,adhesion g protein coupled receptor e5,0,[],CD97,ADGRE5,976,adhesion G protein-coupled receptor E5
MDK,midkine,6,"['39614972', '39042809', '38203625', '33639987', '31284807', '21192283']",MDK,MDK,4192,midkine
GJB2,gap junction protein beta 2,2,"['33875577', '32305661']",GJB2,GJB2,2706,gap junction protein beta 2
PDE1A,phosphodiesterase 1a,0,[],PDE1A,PDE1A,5136,phosphodiesterase 1A
IL18RAP,interleukin 18 receptor accessory protein,3,"['40330459', '31292051', '31093495']",IL18RAP,IL18RAP,8807,interleukin 18 receptor accessory protein
UNC93B1,unc-93,2,"['21966468', '21753151']",UNC93B1,UNC93B1,81622,"unc-93 homolog B1, TLR signaling regulator"
PFKFB3,6 phosphofructo 2 kinase fructose 2 6 biphosphatase 3,21,"['40382942', '39953547', '39549732', '39362015', '38705396', '38227599', '37543012', '37199341', '36966548', '36916342', '36803959', '36589684', '35810663', '34907156', '34020392', '33984439', '32179636', '31167111', '31093495', '30776389', '28576491']",PFKFB3,PFKFB3,5209,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
GSR,glutathione disulfide reductase,7,"['38701300', '19148412', '16387840', '15489643', '11307816', '1488535', '170905']",GSR,GSR,2936,glutathione-disulfide reductase
FCN1,ficolin 1,5,"['40050379', '28673381', '26850322', '24667622', '23874546']",FCN1,FCN1,2219,ficolin 1
PLA2G7,phospholipase a2 group vii,6,"['39343830', '38332914', '36851633', '30623693', '26645559', '16807087']",PLA2G7,PLA2G7,7941,phospholipase A2 group VII
ECE1,endothelin converting enzyme 1,4,"['24466000', '16043243', '15733912', '11580117']",ECE1,ECE1,1889,endothelin converting enzyme 1
SNHG7,small nucleolar rna host gene 7,1,['35965096'],SNHG7,SNHG7,84973,small nucleolar RNA host gene 7
PKP1,plakophilin 1,0,[],PKP1,PKP1,5317,plakophilin 1
IL10,interleukin 10,2706,"['40546033', '40510342', '40466521', '40414583', '40412336', '40394665', '40390062', '40359720', '40359661', '40358797', '40344985', '40334959', '40287812', '40281196', '40264754', '40258759', '40253667', '40199446', '40192065', '40185169', '40181286', '40171168', '40153013', '40139445', '40107628', '40076895', '40076848', '40046257', '40011296', '40000789', '39986583', '39978709', '39968581', '39966958', '39966757', '39951524', '39935482', '39876077', '39873358', '39833594', '39831526', '39819719', '39794821', '39786877', '39755761', '39744639', '39724680', '39716581', '39710165', '39708977', '39704189', '39696043', '39614280', '39559359', '39548530', '39546819', '39535339', '39519216', '39502702', '39488192', '39471914', '39462731', '39455069', '39446526', '39411878', '39406206', '39393087', '39380512', '39379599', '39375723', '39360626', '39355237', '39336593', '39312068', '39311785', '39303891', '39281680', '39278208', '39267383', '39273234', '39240033', '39238407', '39235552', '39212218', '39182143', '39152462', '39125627', '39111365', '39106713', '39095667', '39080540', '39043772', '39042701', '39034165', '39032762', '39002784', '39000529', '38978044', '38969796', '38969287', '38961639', '38938563', '38928327', '38926458', '38926372', '38907061', '38870636', '38846955', '38835260', '38824851', '38814205', '38813932', '38789529', '38767608', '38754813', '38723454', '38715602', '38692452', '38678669', '38670240', '38653076', '38650148', '38646647', '38643461', '38630560', '38603712', '38589355', '38550581', '38512283', '38504987', '38498595', '38484466', '38484156', '38472520', '38459886', '38452956', '38432853', '38428770', '38413606', '38395221', '38372712', '38354730', '38332910', '38307477', '38302679', '38299826', '38263289', '38242525', '38235139', '38203690', '38187112', '38165570', '38150744', '38149388', '38149385', '38146798', '38142642', '38124410', '38112144', '38109427', '38100268', '38087374', '38085279', '38068931', '38066526', '38035076', '37986183', '37984615', '37972690', '37939692', '37907989', '37900081', '37900069', '37878499', '37869001', '37857120', '37845615', '37840694', '37819735', '37802425', '37797676', '37776443', '37734468', '37696985', '37688314', '37681975', '37674218', '37621924', '37606510', '37604833', '37518088', '37493576', '37467029', '37463399', '37452625', '37452088', '37423488', '37391875', '37382273', '37373325', '37366124', '37356260', '37350331', '37326695', '37304268', '37295247', '37261364', '37248585', '37177863', '37175808', '37169553', '37085849', '37076099', '37071074', '37060578', '37059372', '37058750', '37041589', '37027482', '37010813', '36988563', '36921735', '36921490', '36916375', '36915009', '36907043', '36883500', '36883358', '36867536', '36847604', '36845110', '36840424', '36801260', '36795959', '36752775', '36752566', '36735379', '36726139', '36725250', '36661370', '36640152', '36634624', '36631077', '36615318', '36602214', '36567581', '36567558', '36546420', '36544765', '36544417', '36536294', '36534332', '36509812', '36468797', '36460253', '36435787', '36427072', '36368184', '36357845', '36355867', '36300612', '36279621', '36261775', '36250840', '36240721', '36209721', '36189302', '36180862', '36169246', '36164882', '36162982', '36119089', '36119052', '36106559', '36061862', '36059088', '36056471', '36039902', '35999492', '35988289', '35983056', '35970557', '35937269', '35918604', '35862959', '35859520', '35856422', '35856408', '35850256', '35843523', '35833536', '35816926', '35814267', '35812458', '35811678', '35790769', '35790432', '35786454', '35784283', '35779591', '35754113', '35743025', '35720398', '35691271', '35689164', '35672941', '35668567', '35665630', '35622931', '35621073', '35610647', '35606218', '35582414', '35579024', '35575295', '35559581', '35546754', '35536087', '35534212', '35532702', '35523357', '35502484', '35491857', '35464430', '35438589', '35426063', '35417044', '35408999', '35401514', '35395976', '35369768', '35363162', '35355199', '35337691', '35312688', '35306660', '35290084', '35286924', '35272172', '35251018', '35225146', '35203386', '35197984', '35189172', '35185915', '35178052', '35173706', '35163830', '35156517', '35154155', '35152685', '35131005', '35109868', '35097133', '35074974', '35069560', '35066509', '35053151', '35038424', '35015384', '35007703', '34999260', '34995813', '34991848', '34981315', '34923545', '34914941', '34897267', '34869064', '34852366', '34850068', '34845289', '34839857', '34822998', '34822072', '34795661', '34790828', '34769064', '34768881', '34749673', '34749364', '34732468', '34715493', '34676267', '34662822', '34652339', '34610595', '34591327', '34589087', '34575994', '34542164', '34528700', '34524268', '34506322', '34502552', '34493741', '34488018', '34484214', '34482319', '34476932', '34473957', '34473230', '34472396', '34468107', '34440840', '34432200', '34423815', '34417666', '34413363', '34396465', '34384829', '34380646', '34371879', '34365077', '34354703', '34351903', '34310884', '34301845', '34298039', '34296627', '34288548', '34268649', '34267240', '34246059', '34245771', '34241804', '34229261', '34204220', '34177883', '34163488', '34162147', '34152806', '34137348', '34118261', '34112289', '34103408', '34093560', '34093531', '34074289', '34066510', '34060448', '34058975', '34004247', '33997001', '33995355', '33961853', '33902220', '33899953', '33870913', '33842398', '33841336', '33820537', '33819192', '33809795', '33804806', '33795743', '33790896', '33773156', '33767693', '33737924', '33737461', '33727664', '33723589', '33718268', '33717127', '33710072', '33708213', '33660819', '33613540', '33606478', '33605309', '33605009', '33562046', '33559458', '33555842', '33514512', '33509215', '33430014', '33420893', '33368409', '33348064', '33256638', '33256338', '33242647', '33239419', '33198862', '33195706', '33189146', '33183484', '33183116', '33181172', '33179463', '33178206', '33176504', '33176177', '33172558', '33158954', '33158114', '33155998', '33154574', '33139385', '33137434', '33129786', '33113386', '33091818', '33090332', '33072121', '33066719', '33066217', '33059181', '33028898', '33010404', '32997081', '32996896', '32996833', '32979549', '32966769', '32958528', '32949213', '32947475', '32935509', '32929135', '32912405', '32908632', '32907380', '32903604', '32897210', '32896310', '32891037', '32870491', '32845434', '32839476', '32829604', '32828299', '32826815', '32826331', '32821898', '32805279', '32804018', '32748275', '32728165', '32717860', '32712153', '32709653', '32686965', '32684215', '32679128', '32661821', '32658933', '32622941', '32621149', '32614079', '32597796', '32576347', '32570032', '32546181', '32538218', '32521960', '32521540', '32520577', '32508527', '32502500', '32496421', '32484987', '32457753', '32447223', '32447221', '32445625', '32423469', '32412904', '32411623', '32407417', '32397584', '32387414', '32383354', '32379547', '32335195', '32334851', '32307170', '32303568', '32294863', '32272155', '32220257', '32210244', '32207354', '32205619', '32194558', '32173265', '32163745', '32142764', '32141686', '32129085', '32118713', '32117320', '32089644', '32059166', '32058932', '32039821', '32034118', '32033605', '32031750', '32014040', '32003289', '31998290', '31971308', '31960030', '31953452', '31941655', '31900478', '31896446', '31894039', '31893303', '31869757', '31843193', '31841441', '31812793', '31781099', '31779663', '31770216', '31767546', '31764621', '31729464', '31705997', '31701864', '31692534', '31690258', '31685438', '31679751', '31665078', '31657335', '31654493', '31628890', '31627725', '31626046', '31608052', '31595873', '31552054', '31536782', '31527248', '31525434', '31524226', '31501258', '31464651', '31463997', '31443678', '31434083', '31425341', '31420571', '31403491', '31370884', '31365924', '31362797', '31340209', '31307265', '31306346', '31300134', '31297113', '31292086', '31290914', '31288723', '31234706', '31227794', '31210339', '31201811', '31129142', '31125901', '31115020', '31114579', '31112675', '31094176', '31091156', '31078118', '31059023', '31042421', '31028073', '31009499', '31001484', '30994109', '30991817', '30976008', '30962268', '30954691', '30952998', '30927050', '30918467', '30916575', '30901382', '30897322', '30896848', '30870654', '30867482', '30867119', '30858203', '30857516', '30853459', '30850582', '30818897', '30817573', '30814582', '30810621', '30803045', '30797048', '30784917', '30732761', '30684912', '30660872', '30660782', '30645707', '30639137', '30624762', '30610183', '30601330', '30600945', '30595665', '30591103', '30585832', '30579593', '30563551', '30563403', '30552619', '30547887', '30538802', '30530591', '30518854', '30502766', '30470620', '30443882', '30440016', '30431333', '30412724', '30400775', '30378306', '30365644', '30343389', '30340459', '30335674', '30332984', '30326743', '30300408', '30300318', '30298072', '30278811', '30275087', '30261305', '30260766', '30246452', '30235942', '30229837', '30228372', '30218645', '30195817', '30178273', '30174555', '30149129', '30146415', '30123776', '30119646', '30112606', '30089287', '30074979', '30069485', '30064357', '30053407', '30046137', '30044324', '30041663', '30028417', '30027347', '30025864', '29990318', '29988283', '29983349', '29979415', '29977328', '29957709', '29957152', '29956070', '29936011', '29935492', '29935165', '29932987', '29920655', '29901182', '29891463', '29868038', '29861384', '29851490', '29844304', '29786457', '29778842', '29769838', '29762676', '29757416', '29753775', '29752615', '29741778', '29737475', '29735976', '29731490', '29727715', '29727369', '29681903', '29669785', '29644918', '29635128', '29621339', '29621118', '29604364', '29571249', '29562764', '29555393', '29506272', '29505782', '29489737', '29467023', '29466409', '29465571', '29462699', '29459404', '29455109', '29447181', '29422392', '29415882', '29413717', '29396053', '29365277', '29363724', '29334679', '29314200', '29284469', '29259979', '29257842', '29251709', '29239829', '29239828', '29204871', '29198124', '29182416', '29149705', '29136027', '29129362', '29126656', '29078758', '29073262', '29049138', '29034874', '28988232', '28987599', '28978926', '28953574', '28934717', '28931235', '28918754', '28911957', '28902848', '28899698', '28882766', '28871508', '28871201', '28863323', '28840841', '28835457', '28818514', '28795668', '28793032', '28786832', '28780798', '28769538', '28759625', '28731485', '28715505', '28714876', '28700052', '28692671', '28688647', '28685542', '28682940', '28673381', '28667518', '28665194', '28653377', '28630091', '28628675', '28628613', '28610918', '28601359', '28601305', '28600194', '28598488', '28593998', '28591158', '28591008', '28571570', '28567497', '28559266', '28525674', '28524025', '28514870', '28504149', '28482922', '28464519', '28458349', '28457762', '28457340', '28455780', '28446249', '28424824', '28421541', '28419526', '28410545', '28408808', '28403874', '28399920', '28396319', '28394608', '28375710', '28374774', '28367457', '28363868', '28362715', '28356347', '28341671', '28288804', '28283442', '28282291', '28257334', '28234792', '28207795', '28205673', '28181563', '28176831', '28167629', '28162006', '28148470', '30133223', '28130856', '28120021', '28115288', '28108420', '28099636', '28086962', '28079606', '28077574', '28069319', '28052995', '28039586', '28033393', '28012568', '28006762', '27998289', '27997530', '27984535', '27960200', '27943364', '27941849', '27940660', '27872207', '27840404', '27829181', '27826063', '27821667', '29441967', '27788614', '27746168', '27389679', '27184083', '27788141', '27702553', '27665705', '27250033', '27768573', '27760897', '27683081', '27754817', '27513541', '27748832', '27663367', '27650379', '27648690', '27633969', '27619993', '27618275', '27600821', '27598601', '27592234', '27583554', '27578571', '27574993', '27556404', '27538729', '27534560', '27522992', '27521657', '27515003', '27514616', '27484743', '27465753', '27449508', '27436624', '27423972']",IL10,IL10,3586,interleukin 10
